reward,difficulty,duration,offer_id_t,web,email,mobile,social,bogo,discount,informational,mem_id_t,time,gender,age,income,membership_year,membership_month,membership_day,offer completed,offer received,offer viewed,transaction
5,20,10,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,1,0,0,0,1,0,4b0da7e80e5945209a1fdddfe813dbe0,168,M,64.0,100000.0,2017,9,Saturday,0,1,0,Completed
5,20,10,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,1,0,0,0,1,0,1e9420836d554513ab90eba98552d0a9,576,M,22.0,70000.0,2017,9,Monday,0,1,0,Completed
3,7,7,2298d6c36e964ae4a3e7e9706d1fb8c2,1,1,1,1,0,1,0,1e9420836d554513ab90eba98552d0a9,408,M,22.0,70000.0,2017,9,Monday,0,1,0,Completed
5,20,10,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,1,0,0,0,1,0,02c083884c7d45b39cc68e1314fec56c,408,F,20.0,30000.0,2016,7,Monday,0,1,0,Not Completed
5,20,10,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,1,0,0,0,1,0,676506bad68e4161b9bbaffeb039626b,504,M,37.0,92000.0,2017,5,Monday,0,1,0,Not Completed
5,20,10,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,1,0,0,0,1,0,fe8264108d5b4f198453bbb1fa7ca6c9,168,F,78.0,93000.0,2016,10,Sunday,0,1,0,Completed
2,10,10,fafdcd668e3743c1bb461111dcafc2a4,1,1,1,1,0,1,0,fe8264108d5b4f198453bbb1fa7ca6c9,504,F,78.0,93000.0,2016,10,Sunday,0,1,0,Completed
2,10,7,2906b810c7d4411798c6938adc9daaa5,1,1,1,0,0,1,0,39dbcf43e24d41f4bbf0f134157e0e1e,336,M,76.0,64000.0,2014,8,Sunday,0,1,0,Completed
3,7,7,2298d6c36e964ae4a3e7e9706d1fb8c2,1,1,1,1,0,1,0,3f244f4dea654688ace14acb4f0257bb,408,M,66.0,71000.0,2018,7,Tuesday,0,1,0,Completed
2,10,10,fafdcd668e3743c1bb461111dcafc2a4,1,1,1,1,0,1,0,3f244f4dea654688ace14acb4f0257bb,168,M,66.0,71000.0,2018,7,Tuesday,0,1,0,Completed
5,20,10,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,1,0,0,0,1,0,1c587de019994f93a242c6864fd7bc55,504,F,90.0,98000.0,2015,12,Thursday,0,1,0,Not Completed
3,7,7,2298d6c36e964ae4a3e7e9706d1fb8c2,1,1,1,1,0,1,0,92e07c49ee7448fca6e48df0c96e3eec,504,F,66.0,58000.0,2018,2,Friday,0,1,0,Completed
3,7,7,2298d6c36e964ae4a3e7e9706d1fb8c2,1,1,1,1,0,1,0,f8aedd0cbea0419c806842b4265b82e5,576,F,72.0,72000.0,2016,8,Thursday,0,1,0,Completed
